AM001	[18.66290283203125,-110.5538330078125],[18.72540283203125,-110.3975830078125],[18.64727783203125,-110.3663330078125],[18.75665283203125,-110.1475830078125],[18.99102783203125,-110.2100830078125],[19.00665283203125,-110.1319580078125],[19.58477783203125,-110.3975830078125],[19.49102783203125,-110.5850830078125],[19.63165283203125,-110.6319580078125],[19.58477783203125,-110.7413330078125],[19.42852783203125,-110.7257080078125],[19.41290283203125,-110.8975830078125]
AM002	[21.56658935546875,-103.9156494140625],[21.97283935546875,-103.4625244140625],[22.80096435546875,-104.1812744140625],[22.31658935546875,-104.6812744140625],[21.83221435546875,-104.6187744140625],[21.61346435546875,-104.4156494140625]
AM003	[28.92242431640625,-88.4678955078125],[29.31304931640625,-89.2178955078125],[30.43804931640625,-88.5460205078125],[30.35992431640625,-88.3272705078125],[30.26617431640625,-88.3897705078125],[30.17242431640625,-88.2803955078125],[29.64117431640625,-88.6085205078125],[29.25054931640625,-88.1553955078125]
AM004	[35.8125,-60.643798828125],[36.0625,-60.565673828125],[35.984375,-59.737548828125],[36.46875,-59.675048828125],[36.796875,-60.784423828125],[36.546875,-60.800048828125],[36.546875,-60.925048828125],[36.46875,-60.956298828125],[36.5,-61.050048828125],[36.421875,-61.096923828125],[36.421875,-61.175048828125],[36.5,-61.190673828125],[36.53125,-61.268798828125],[36.53125,-61.346923828125],[36.4375,-61.346923828125],[36.359375,-61.409423828125],[36.3125,-61.331298828125],[36.28125,-61.284423828125],[36.3125,-61.159423828125],[36.28125,-61.096923828125],[36.21875,-61.128173828125],[36.21875,-61.050048828125],[36.109375,-61.096923828125],[36.0625,-61.003173828125],[35.90625,-61.034423828125],[35.78125,-60.628173828125],[36.078125,-60.534423828125]
AM005	[29.5643310546875,-86.1356201171875],[30.1268310546875,-85.7762451171875],[30.4237060546875,-86.1824951171875],[30.1112060546875,-86.4168701171875],[29.8924560546875,-86.1824951171875],[29.6893310546875,-86.3231201171875]
AM006	[49.429931640625,-88.26708984375],[50.039306640625,-88.22021484375],[50.086181640625,-89.06396484375],[49.867431640625,-89.43896484375],[49.523681640625,-89.45458984375]
AM007	[13.596923828125,-102.8050537109375],[14.940673828125,-101.3831787109375],[15.659423828125,-102.1019287109375],[15.190673828125,-102.6175537109375],[15.284423828125,-102.7269287109375],[14.956298828125,-103.0706787109375],[14.831298828125,-102.9925537109375],[14.346923828125,-103.4925537109375]
AM008	[46.83599853515625,-61.14794921875],[47.91412353515625,-60.61669921875],[48.10162353515625,-60.81982421875],[46.86724853515625,-61.44482421875]
AM009	[36.87518310546875,-83.291748046875],[37.54705810546875,-82.619873046875],[37.92205810546875,-83.041748046875],[37.64080810546875,-83.213623046875],[37.62518310546875,-83.385498046875],[37.90643310546875,-83.682373046875],[37.73455810546875,-83.869873046875],[37.89080810546875,-83.979248046875],[37.68768310546875,-84.213623046875]
AM010	[50.429743175781255,-44.19024658203125],[51.726618175781255,-43.12774658203125],[52.351618175781255,-43.67462158203125],[51.054743175781255,-44.75274658203125]
AM011	[60.469293957031255,-58.68310546875],[60.703668957031255,-58.74560546875],[60.781793957031255,-58.65185546875],[60.875543957031255,-58.65185546875],[60.844293957031255,-58.72998046875],[60.969293957031255,-58.76123046875],[61.016168957031255,-58.72998046875],[61.094293957031255,-58.74560546875],[61.109918957031255,-58.88623046875],[61.297418957031255,-58.97998046875],[61.172418957031255,-59.32373046875],[60.938043957031255,-59.30810546875],[60.828668957031255,-59.38623046875],[60.609918957031255,-59.30810546875],[60.578668957031255,-59.19873046875],[60.328668957031255,-59.08935546875]
AM012	[38.730707531250005,-85.29669189453125],[38.933832531250005,-85.14044189453125],[38.793207531250005,-84.93731689453125],[38.918207531250005,-84.89044189453125],[39.402582531250005,-85.43731689453125],[39.277582531250005,-85.56231689453125],[39.433832531250005,-85.74981689453125],[39.574457531250005,-85.65606689453125],[39.605707531250005,-85.49981689453125],[39.808832531250005,-85.90606689453125],[39.496332531250005,-86.07794189453125]
AM013	[61.08154296875,-68.19561767578125],[61.58154296875,-67.49249267578125],[61.48779296875,-67.36749267578125],[61.65966796875,-67.16436767578125],[61.78466796875,-67.25811767578125],[62.34716796875,-66.53936767578125],[62.40966796875,-66.58624267578125],[62.48779296875,-66.49249267578125],[62.59716796875,-66.49249267578125],[62.70654296875,-66.57061767578125],[62.73779296875,-66.61749267578125],[62.75341796875,-66.69561767578125],[62.73779296875,-66.77374267578125],[62.76904296875,-66.83624267578125],[62.64404296875,-67.03936767578125],[62.72216796875,-67.14874267578125],[61.78466796875,-68.39874267578125],[61.59716796875,-68.28936767578125],[61.48779296875,-68.47686767578125],[61.33154296875,-68.52374267578125],[61.23779296875,-68.52374267578125],[61.14404296875,-68.50811767578125],[61.11279296875,-68.47686767578125],[61.05029296875,-68.44561767578125],[61.06591796875,-68.32061767578125],[61.12841796875,-68.21124267578125]
AM014	[60.991455078125,-77.203857421875],[61.257080078125,-76.906982421875],[61.303955078125,-76.985107421875],[61.460205078125,-76.813232421875],[61.600830078125,-76.875732421875],[61.663330078125,-76.969482421875],[61.710205078125,-77.063232421875],[61.725830078125,-77.188232421875],[61.710205078125,-77.281982421875],[61.600830078125,-77.281982421875],[61.538330078125,-77.266357421875],[61.585205078125,-77.360107421875],[61.491455078125,-77.469482421875],[61.444580078125,-77.422607421875],[61.444580078125,-77.563232421875],[61.397705078125,-77.594482421875],[61.366455078125,-77.610107421875],[61.272705078125,-77.594482421875],[61.194580078125,-77.672607421875],[60.897705078125,-77.438232421875],[61.038330078125,-77.313232421875]
AM015	[45.2833251953125,-84.1300048828125],[45.9708251953125,-84.1456298828125],[45.9552001953125,-84.6456298828125],[45.2677001953125,-84.6143798828125]
