6	MM020_媽閣廟	MM020_媽祖廟(媽閣廟)_媽閣廟前地_20200925_T	MM020_媽祖廟(媽閣廟)_媽閣廟前地_20200925_F1	MM020_媽祖廟(媽閣廟)_媽閣廟前地_20200925_F2	MM020_媽祖廟(媽閣廟)_媽閣廟前地_20200925_F3	MM020_媽祖廟(媽閣廟)_媽閣廟前地_20200925_F4			MM020_媽祖廟(媽閣廟)_媽閣廟前地_20200925_D1				
4	MM021_康真君廟	MM021_康真君廟(康公廟)_康公廟前地_20200917_T	MM021_康真君廟(康公廟)_康公廟前地_20200917_F1	MM021_康真君廟(康公廟)_康公廟前地_20200917_F2	MM021_康真君廟(康公廟)_康公廟前地_20200917_F3								
4	MM022_觀音古廟	MM022_觀音古廟(觀音仔)_美副將大馬路_20200923_T	MM022_觀音古廟(觀音仔)_美副將大馬路_20200923_F1	MM022_觀音古廟(觀音仔)_美副將大馬路_20200923_F2	MM022_觀音古廟(觀音仔)_美副將大馬路_20200923_F3								
4	MM023_普濟禪院	MM023_普濟禪院(觀音堂)_美副將大馬路_20200923_T	MM023_普濟禪院(觀音堂)_美副將大馬路_20200923_F1	MM023_普濟禪院(觀音堂)_美副將大馬路_20200923_F2	MM023_普濟禪院(觀音堂)_美副將大馬路_20200923_F3								
3	MM024_蓮峯廟	MM024_蓮峯廟_罅些喇提督大馬路_20201008_T	MM024_蓮峯廟_罅些喇提督大馬路_20201008_F1	MM024_蓮峯廟_罅些喇提督大馬路_20201008_F2									
3	MM025_哪咤古廟	MM025_哪咤古廟(柿山)_哪咤古廟_20200907_T	MM025_哪咤古廟(柿山)_哪咤古廟_20200907_F1	MM025_哪咤古廟(柿山)_哪咤古廟_20200907_F2									
3	MM026_哪咤廟（大三巴）	MM026_哪咤廟(大三巴)_聖方濟各斜巷_大三巴斜巷_20200925_T	MM026_哪咤廟(大三巴)_聖方濟各斜巷_大三巴斜巷_20200925_F1	MM026_哪咤廟(大三巴)_聖方濟各斜巷_大三巴斜巷_20200925_F2									
4	"MM027_南山,包公,醫靈,呂祖仙院"	"MM027_南山,包公,醫靈,呂祖仙院_福慶街_20200915_T"	"MM027_南山,包公,醫靈,呂祖仙院_福慶街_20200915_F1"	"MM027_南山,包公,醫靈,呂祖仙院_福慶街_20200915_F2"	"MM027_南山,包公,醫靈,呂祖仙院_福慶街_20200915_F3"								
4	MM028_蓮溪新廟	MM028_蓮溪新廟_大纜巷_20200928_T	MM028_蓮溪新廟_大纜巷_20200928_F1						MM028_蓮溪新廟_大纜巷_20200928_D1	MM028_蓮溪新廟_大纜巷_20200928_D2			
3	MM029_仁德堂公所	MM029_仁德堂公所(魯班師傅廟)_白灰街_20200924_T	MM029_仁德堂公所(魯班師傅廟)_白灰街_20200924_F1	MM029_仁德堂公所(魯班師傅廟)_白灰街_20200924_F2									
2	MM030_天后古廟	MM030_天后古廟_漁翁街_20201016_T	MM030_天后古廟_漁翁街_20201016_F1										
