0	AM001_禮賓府																
4	AM017_原利瑪寊中學附屬小學大樓舊址	"AM017_原利瑪寊中學附屬小學大樓舊址_西灣街19,21號_20200925_T"	"AM017_原利瑪寊中學附屬小學大樓舊址_西灣街19,21號_20200925_F1"	"AM017_原利瑪寊中學附屬小學大樓舊址_西灣街19,21號_20200925_F2"	"AM017_原利瑪寊中學附屬小學大樓舊址_西灣街19,21號_20200925_F3"												
4	AM018_崗頂劇院	AM018_崗頂劇院_崗頂前地9號_20200811_T	AM018_崗頂劇院_崗頂前地9號_20200811_F1	AM018_崗頂劇院_崗頂前地9號_20200811_F2							AM018_崗頂劇院_崗頂前地9號_20200811_D1						
6	AM019_葡國領事館(白馬行)	AM019_葡萄牙駐澳門及香港總領事館(原白馬行醫院大樓及花園舊址)_伯多祿局長街_白馬行45號_20200908_T	AM019_葡萄牙駐澳門及香港總領事館(原白馬行醫院大樓及花園舊址)_伯多祿局長街_白馬行45號_20200908_F1	AM019_葡萄牙駐澳門及香港總領事館(原白馬行醫院大樓及花園舊址)_伯多祿局長街_白馬行45號_20200908_F2	AM019_葡萄牙駐澳門及香港總領事館(原白馬行醫院大樓及花園舊址)_伯多祿局長街_白馬行45號_20200908_F3	AM019_葡萄牙駐澳門及香港總領事館(原白馬行醫院大樓及花園舊址)_伯多祿局長街_白馬行45號_20200908_F4	AM019_葡萄牙駐澳門及香港總領事館(原白馬行醫院大樓及花園舊址)_伯多祿局長街_白馬行45號_20200908_F5										
1	AM020_葡國領事館官邸	"AM020_葡萄牙駐澳門及香港總領事官邸(原峯景酒店舊址)_高可寧紳士街8,10,12號_20200908_T"															
4	AM021_金融管理局大樓(原寶血女修會)	AM021_金融管理局大樓(原寶血女修會)_白頭馬路3號_20200825_T	AM021_金融管理局大樓(原寶血女修會)_白頭馬路3號_20200825_F1	AM021_金融管理局大樓(原寶血女修會)_白頭馬路3號_20200825_F2	AM021_金融管理局大樓(原寶血女修會)_白頭馬路3號_20200825_F3												
5	AM022_青少年展藝館	AM022_青少年展藝館(原助學會大樓舊址)_塔石廣場_20200825_T	AM022_青少年展藝館(原助學會大樓舊址)_塔石廣場_20200825_F1	AM022_青少年展藝館(原助學會大樓舊址)_塔石廣場_20200825_F2	AM022_青少年展藝館(原助學會大樓舊址)_塔石廣場_20200825_F3	AM022_青少年展藝館(原助學會大樓舊址)_塔石廣場_20200825_F4											
2	AM023_原大寧堂舊址	AM023_原大寧堂舊址_十月初五日街_泗𠵼街146號_20200916_T	AM023_原大寧堂舊址_十月初五日街_泗𠵼街146號_20200916_F1														
4	AM024_原鴉片屋舊址	AM024_原鴉片屋舊址_火船頭街273號_20200916_T	AM024_原鴉片屋舊址_火船頭街273號_20200916_F1	AM024_原鴉片屋舊址_火船頭街273號_20200916_F2	AM024_原鴉片屋舊址_火船頭街273號_20200916_F3												
4	AM025_原法院大樓舊址	AM025_原法院大樓舊址_南灣大馬路459號_20200930_T	AM025_原法院大樓舊址_南灣大馬路459號_20200930_F1	AM025_原法院大樓舊址_南灣大馬路459號_20200930_F2	AM025_原法院大樓舊址_南灣大馬路459號_20200930_F3												
4	AM026_原六國飯堂舊址	AM026_原六國飯堂舊址_十月初五日街_泗𠵼街159號_20200916_T	AM026_原六國飯堂舊址_十月初五日街_泗𠵼街159號_20200916_F1	AM026_原六國飯堂舊址_十月初五日街_泗𠵼街159號_20200916_F2	AM026_原六國飯堂舊址_十月初五日街_泗𠵼街159號_20200916_F3												
9	AM027_鄭家大屋	AM027_鄭家大屋_龍頭左巷10號_20201008_T	AM027_鄭家大屋_龍頭左巷10號_20201008_F1	AM027_鄭家大屋_龍頭左巷10號_20201008_F2	AM027_鄭家大屋_龍頭左巷10號_20201008_F3	AM027_鄭家大屋_龍頭左巷10號_20201008_F4	AM027_鄭家大屋_龍頭左巷10號_20201008_F5	AM027_鄭家大屋_龍頭左巷10號_20201008_F6	AM027_鄭家大屋_龍頭左巷10號_20201008_F7	AM027_鄭家大屋_龍頭左巷10號_20201008_F8							
